"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1772.5006352659227,4017.1842314301152,215.45125653302995,31729.057211399777,500.0692698277493,209.39243966678916,12.856455903781068
1.0,2450.5639840007348,1234.717453077241,162.25289151334866,4724.5366352666,324.222500947437,125.49026294537013,29.312430262271594
1.0,2667.354331849935,3556.475490669474,158.02410851328892,20033.608347412726,292.88218732393534,150.6646421246413,7.9286223416152035
1.0,3374.287817986798,4743.375717221195,135.3666715424304,9134.25881367718,319.1898489065784,132.70125403008333,11.21719787081464
1.0,3606.1390692441,6248.044691031462,189.10261187888472,39776.60322279138,304.30668760868684,321.091675939169,12.098123933161197
1.0,4601.04629285472,2125.0346911009283,185.1125396695594,10321.621523302358,228.38612499429124,153.9071835756607,21.426571746598118
1.0,5553.663798911554,1623.1304227509402,161.74440153335104,22710.262024050986,390.59263512938867,192.53526435869537,9.33063782338063
2.0,1698.6890792977026,4050.417617144689,217.26867314492418,31290.817171048442,385.73330493081755,221.74992004162857,14.031124808866593
2.0,2634.89050001974,3593.660950946851,171.92235648157038,17846.39861338346,355.9459942518277,194.1544963178424,13.49783591899168
2.0,3300.0048577844973,4785.532668854218,161.06888723077884,20655.062969924264,391.2692725353671,276.93948804046556,14.576976811201634
2.0,3600.686938247764,6217.708368189214,202.74967009705887,41629.755656436006,237.26134922223684,284.6810677543208,11.787126015419798
2.0,4328.692615265771,2296.220072059032,140.0843723209518,12046.44203638656,271.8318185109621,131.13811059027532,9.02091390972197
2.0,5713.273623518984,1533.1278041789656,186.22258949098853,27644.27645640298,339.0957562292423,298.3383740463311,15.676788481502813
3.0,1928.5946850843009,3963.334096668004,202.90988739350215,16718.765101563964,298.0874870569106,183.72016032968128,18.968487425770792
3.0,2474.6549591118605,1155.2243900217456,250.21727579385723,11939.66776875056,203.85718325331476,142.22455306898757,31.24264336740396
3.0,2681.6543226408394,3569.550627741037,248.67892016868043,49891.21624740049,293.85423602509957,330.8507102364299,17.169489200237823
3.0,3117.8905964723444,4848.565748838198,300.3827314413773,40224.89191653225,125.0957704257114,244.37355458453075,22.95022925441809
3.0,3248.552089106403,4819.858599044484,314.5500268728818,53411.07398848195,1.4323844938192964E-5,265.43958571931785,20.588047927780895
3.0,3253.2681146378964,3283.7134977738942,455.74104951003284,66195.31215395022,19.01009303161393,186.4409486007036,24.50379531715722
3.0,3575.0265196696146,6095.388384558707,151.0210419351084,20204.711238347634,260.2633157655276,221.28433872587053,10.492237683725296
3.0,4323.096003456842,2286.186337508621,137.30086580397784,14191.192899286028,290.8908107794179,134.13770657597146,7.538491836259731
3.0,5032.662188647813,1831.1852741684518,152.80648805729294,8054.326360702244,296.1889117846688,138.21760447941307,16.830830789920626
3.0,5812.362906622868,1516.6519749203655,170.9638859895588,20408.265720459065,218.33466626161533,115.43627225468971,7.0140122162993945
3.0,7291.023632397653,1650.4057694233948,153.18755635425245,4320.963354970342,207.03437485868793,122.61652294718066,27.922214658567594
4.0,1968.4827631625794,3905.3489739962497,119.42169504992576,6708.764043497311,604.3170316906663,265.4983487045303,23.627770514175705
4.0,2621.0880752303947,3617.2213043781226,244.62275561371877,42711.4556392582,215.60269654443178,239.48551522693847,14.068278391037854
4.0,2853.4121638722995,4587.860472624012,172.45836442738863,19479.19426481547,401.0907386826616,213.6316843112922,13.685210296684945
4.0,3464.4624411408927,3110.9259242974695,127.53537299919759,9803.428048301537,484.8115852815035,190.33088177122744,13.259975884735027
4.0,3608.1119480347593,6150.672720767003,170.46701455095337,26259.250786256056,274.9695929938698,205.47812013121415,9.560000405342814
4.0,3976.5786142182933,2643.7165287954854,134.07980557254106,10608.137659084277,453.92820805133886,139.27628629199606,9.951848306974485
4.0,4534.279908596234,2146.6891008196826,107.11348251856434,4481.057301223619,489.1500760355639,223.0775157543636,23.920937216183667
4.0,5023.096092125541,1827.3285555573204,178.67326562320764,17542.01116343383,306.765232404833,179.1905505173951,13.692778379096135
4.0,5925.73217350554,1464.269381086819,157.95075608232318,5316.600517951476,286.01651875508907,105.67839344686757,20.83571445550815
4.0,7325.994162250862,1605.7055316953092,225.4741579470498,15645.529318147193,104.20597592944321,119.64235743529404,16.3436039166435
5.0,1600.103207339787,4170.635273833091,187.0473371871689,5845.990487357671,261.97136867035783,117.50425801023887,29.48417503908094
5.0,3574.06004629403,6142.32921071219,197.32441534767264,30644.84208715379,196.68105405798798,175.99228020514138,9.411768317156403
5.0,4503.909234014511,2176.431606547681,157.89035194512147,15654.576957816487,354.0303675853724,184.9905355247796,12.37479066381728
5.0,5022.998778474391,1816.1392893662799,183.74756749953497,11584.068351204656,289.16371933914525,161.8141036706928,19.779660592993316
5.0,6165.66255282667,1352.3006475385723,125.11937706685698,12758.300120882544,386.58228318369083,149.3906249398998,7.743827447697574
5.0,7220.395873619382,1629.1438972524752,169.68722292561478,5568.5912866817325,247.8972163215091,121.46861013565167,26.34194401963921
6.0,2753.0805615867635,3889.7005746337227,128.92198781177723,5581.162921023978,235.7078163680602,111.4264274014101,13.977656550210964
6.0,3389.977905398311,4290.461328166485,277.29983396591086,21810.845408578283,87.79081938334514,120.79254374750295,17.89155625697182
6.0,3567.42372726838,6102.137612178001,154.93862572919022,18271.49889614719,241.16624535488248,169.298003778875,9.366501105121655
6.0,4969.45894795508,1828.8108306299957,121.35973216489813,2457.7928362791836,242.76283120623023,125.54967370266947,31.53392664471872
6.0,6206.548879060245,1345.2416491696092,198.36626442507176,16324.869214790471,222.51449922704202,178.73418808977883,18.067202576867047
7.0,2570.5866905365083,3128.6747443050244,142.3281261669757,8738.912545374096,349.61948644301435,125.0727382877635,12.213204721292383
7.0,3433.3384568622623,4312.876162269102,207.97415321587718,7798.24950074902,147.2772580436227,105.79952911081008,24.631670575310306
7.0,3619.307485203373,6269.020408611489,157.17782273879956,3625.9832536976405,204.9888573672943,133.63312582574247,38.13108406730878
7.0,4527.338906263639,2096.9533574129136,228.91194911066344,12367.428600964065,229.88950964142504,176.68321878599218,31.343794307653656
7.0,4990.240489911789,1832.085238784565,137.20852551719526,11610.72700974419,499.56829180162504,228.2123753386152,15.514659670595504
7.0,6004.173425269102,1404.7261683266202,204.60165277038917,24083.332675377646,386.4955149357277,275.2214813683483,20.03053618298293
